text,id
открывать замок быть вспоминать гореть огонь любовь умирать рядом ты мы чтоть спина обжечь нежный обнять нежно мой рука взять вместе упасть объятие твой хотеть дышать мочь мочь ждать сходить ум маломаломало маломаломало знать сам маломаломало маломаломало сходить ум маломаломало маломаломало знать сам маломаломало маломаломало ты прошептать глаз закрыть тихонечко такт ушко напеть этот тихий дрожь один всё ложь нежный обнять нежно мой рука взять вместе упасть объятие твой хотеть дышать мочь мочь ждать сходить ум маломаломало маломаломало знать сам маломаломало маломаломало сходить ум маломаломало маломаломало знать сам маломаломало маломаломало сходить ум сходить ум маломаломало маломаломало маломаломало маломаломало сходить ум маломаломало маломаломало знать сам маломаломало маломаломало сходить ум маломаломало маломаломало знать сам маломаломало маломаломало ,1
мир который жить делиться часть пока он любовь знать сон наяву какой бывать счастие делить ты жилабыть девочка золотистый коса мирить огонь лёд небо солнце гроза знать пароль видеть ориентир верить это любовь спасти мир знать пароль видеть ориентир река разноцветный любовь спасти мир час прерваться звук утихнуть страсть стать слышный бог мир который жить делиться часть пока он любовь жилабыть девочка золотистый коса мирить огонь лёд небо солнце гроза знать пароль видеть ориентир верить это любовь спасти мир знать пароль видеть ориентир река разноцветный любовь спасти мир знать пароль видеть ориентир верить это любовь спасти мир знать пароль видеть ориентир река разноцветный любовь спасти мир знать пароль видеть ориентир знать пароль видеть ориентир знать пароль видеть ориентир верить это любовь спасти мир знать пароль видеть ориентир река разноцветный любовь спасти мир знать пароль видеть ориентир верить это любовь спасти мир знать пароль видеть ориентир река разноцветный любовь спасти мир ,2
спрятать свой крыло б пугать быть сильный б защитить спрятать свой страх б узнать быть сильный б любить хотеть лететь выше б задеть город крыша хотеть близкий выше выше выше скорость мой мысль догнать рядом близко достать спрятать похитить сердце мой навсегда быть ты близкий научиться летать хотеть лететь выше б задеть город крыша хотеть близкий выше выше хотеть лететь выше б задеть город крыша хотеть близкий выше выше хотеть лететь выше б задеть город крыша хотеть близкий выше выше ,3
dont be afraid roman can touch this do you wanna dance with me yeah стоп вопрос сколько нужно воля сила мысль вокруг довольный упираться число разбудить мой сердце столько разный оттенок номинально чувство спрятать гдеть сказать сколько пузырёк лимонад ладный отвечать ты это кусать губа искать глаз мальчик ещё просто знать сочинять роман мужчина весь мой жизнь идти вечный круг решить сам перепечатать мысль разослать весь подруга сочинять роман ромаромароман роман мужчина весь мой жизнь сочинять роман ромаромароман роман мужчина весь мой жизнь выходить уберечь чьитый нерв религия огонь сериал первый жить сам мой род кошка никто держать немножко сказать сколько пузырёк лимонад ладный отвечать ты это кусать губа искать глаз мальчик ещё просто знать сочинять роман мужчина весь мой жизнь идти вечный круг решить сам перепечатать мысль разослать весь подруга сочинять роман ромаромароман роман мужчина весь мой жизнь сочинять роман ромаромароман роман мужчина весь мой жизнь сочинять роман ромаромароман роман сочинять роман ромаромароман роман ромаромароман мужчина весь мой жизнь сочинять роман ромаромароман роман мужчина весь мой жизнь сочинять роман ромаромароман роман мужчина весь мой жизнь ,4
город знать путь знать тот мешать идти каждый шаг каждый миг кольцо час пик город каждый герой первый второй каждый грубый каждый сметь опоздать успеть знать знать знать первый хотеть всё сразу унести себя видеть хотеть видеть спина говорить слышишьслышать весь москва блестеть весь москва гореть весь москва сиять мы знать тот зажечься ответ город час остальной зависеть повезти иль обратный билет город вопрос вопрос верить значит дорасти знать ответ значит волна знать знать знать первый хотеть всё сразу унести себя видеть хотеть видеть спина говорить слышишьслышать весь москва блестеть весь москва гореть весь москва сиять мы знать тот зажечься ответ весь москва блестеть весь москва гореть весь москва сиять мы знать тот зажечься ответ ,5
уютный кафе улица плетёный мебель красный вино местный погреб больший шато мочь говорить это глупый мечта план всё видимо немного крутой завтра 722 быть борисполь сидеть самолёт думать пилот взлететь крайне удачно сесть гденибыть париж ещё немного прованс ааахах ааахах ааахах ааахах бордовый горизонт бордовый бордо бокал поверить мочь это всё близко завтра 722 быть борисполь сидеть самолёт думать пилот взлететь крайне удачно сесть гденибыть париж ещё немного прованс ааахах ааахах ааахах ааахах аа аа завтра 722 быть борисполь сидеть самолёт думать пилот взлететь крайне удачно сесть гденибыть париж ещё немного прованс ,6
закрой себя сказать стоить подбросить удача докурить пойти далёкий дождаться заплатить любой получить сдача фильм главный актёр сценарист он режиссёр враг бояться друг отрекаться нелюбимый простить любимый любить враг бояться друг отрекаться нелюбимый простить любимый любить минута замечтаться летать пытаться упад подниматься всё порядок оклематься дождаться заплатить любой получить сдача фильм главный актёр сценарист он режиссёр враг бояться друг отрекаться нелюбимый простить любимый любить враг бояться друг отрекаться нелюбимый простить любимый любить враг бояться друг отрекаться нелюбимый простить любимый любить враг бояться друг отрекаться нелюбимый простить любимый любить ,7
выбирать свой убегать взять хотеть туда дышать это мокрый зима сквозь дождь слышать обманывать день купаться облако оооо тень убегать ночью оооо терпеть сила пить текила мочь ждать утро далёкий быть выбирать свой солнце поднимать свой веко далёкий быть выбирать свой чудо чудо далёкий быть выбирать свой чудо чудо оооооо оуоо забрать мой тепло остаться воздух плакать тишина б слишком просто обратно вернуться знать давать гордость оооо хотеть это новость оооо терпеть сила пить текила мочь ждать утро далёкий быть выбирать свой солнце поднимать свой веко далёкий быть выбирать свой чудо чудо далёкий быть выбирать свой чудо чудо далёкий быть выбирать свой татанан татанан тананан тананан татанан нана уууа терпеть сила пить текила мочь ждать утро далёкий быть выбирать свой солнце поднимать свой веко далёкий быть выбирать свой чудо чудо оуоуй оуоуй далёкий быть выбирать свой чудо чудо оуоуй оуоуй далёкий быть выбирать свой ,8
добрый утро мой родный человек добрый утро весь кто любить добрый утро день пусть добрый дышать свободно прожить любовь день темнота видеть хотеть невидимый свет встретиться нигде темнота падать лететь бояться прикосновение обнажённый душа тело подниматься солнце внезапно притихнуть мир смысл молчание наступать рассвет добрый утро мой родный человек добрый утро весь кто любить добрый утро день пусть добрый дышать свободно прожить любовь день уйти отдать всё проходить мир это навсегда отдать пусть гаснуть твой голова путеводный звезда подниматься солнце внезапно притихнуть мир смысл молчание наступать рассвет добрый утро мой родный человек добрый утро весь кто любить добрый утро день пусть добрый дышать свободно прожить любовь день добрый утро мой родный человек добрый утро весь кто любить добрый утро день пусть добрый дышать свободно прожить любовь день ,9
твой диван сходить ум два мадам нирвана летать заметить той мать сказать просто блдь мама люба давать давать давать мама люба давать давать давать мама люба давать давать давать мама люба давать давать давать мама люба давать давать давать мама люба давать давать давать нашанаша кроватка делать шикшик твой пианино настройщик летать заметить той мать сказать просто блдь мама люба давать давать давать мама люба давать давать давать мама люба давать давать давать мама люба давать давать давать мама люба давать давать давать мама люба давать давать давать мама люба давать давать давать мама люба давать давать давать мама люба давать давать давать мама люба давать давать давать мама люба давать давать давать мама люба давать давать давать ,10
