text,id
ветер море дуть ветер море дуть нагонять беда нагонять беда сказать сказать прийти прийти видно судьба видно судьба видно любовь видно любовь видно я видно я посмеяться посмеяться любить любить честно говорить честно говорить знать знать ждать ждать видно судьба видно судьба видно любовь видно любовь видно я видно я посмеяться посмеяться видно судьба видно судьба видно любовь видно любовь видно я видно я посмеяться посмеяться время пройти время пройти год пролететь год пролететь первый любовь первый любовь вернуть назад вернуть назад видно судьба видно судьба видно любовь видно любовь видно я видно я посмеяться посмеяться видно судьба видно судьба видно любовь видно любовь видно я видно я посмеяться посмеяться видно судьба видно судьба видно любовь видно любовь видно я видно я посмеяться посмеяться видно судьба видно судьба видно любовь видно любовь видно я видно я посмеяться посмеяться видно судьба видно судьба видно любовь видно любовь видно я видно я посмеяться посмеяться видно судьба видно судьба видно любовь видно любовь видно я видно я посмеяться посмеяться ,1
обнять поцелуй рассказать долго ждать увидеть восхищаться я называть святой забросать цвета ненаглядный говорить говорить говорить любить говорить говорить говорить любить стараться зря понимать просто делать всё хотеть делать утро пропасть я денёкдруга весь мир рассказать герой говорить говорить говорить любить говорить говорить говорить любить говорить говорить говорить любить говорить говорить говорить любить говорить говорить говорить любить говорить говорить говорить любить ,2
асфальт мел рисовать лето ласковый буря трогать ладонь вода воздух время маленький тайна знать никто сказать беспечный птица небо улетать тополиный пух жара июль ночь такой звёздный понять первый поцелуй это ещё любовь это лишь закон борьба противоположность тополиный пух жара июль ветер уносить небо верить никто ждать снег снег снег ладонь небо просто сердце найти счастие маленький дверца маленький дверца далекодалёкий парус уплывать парус уплывать жизнь счастие мало бывать тополиный пух жара июль ночь такой тёплый понять первый поцелуй это ещё любовь это лишь закон притяжение противоположность тополиный пух жара июль ветер уносить небо верить никто ждать снег снег снег тополиный пух тополиный пух тополиный пух тополиный пух тополиный пух тополиный пух тополиный пух тополиный пух тополиный пух тополиный пух тополиный пух жара июль ночь такой лунный солёный ветер море дуть уносить себя мысль грустный тополиный пух гроза белые хлопья снег любовь ты прийти это снежный лето лето любовь любовь ,3
отрываться земля полпути важно думать огонь подружиться дождь быть делать это вдвоём вспоминать проблема запрет солнышко рука венок звезда небо другой планета видеть ты мечтать гдеть земля парить ты облако лавина снежный гора накрыть счастие тёплый ветер тёплый ветер стыдно сделать шаг побороть свой детский страх крыло должный рядом оттолкнуться скучный слово освободиться тяжкий окова хотеть счастие стать мы ты награда солнышко рука венок звезда небо другой планета видеть ты мечтать гдеть земля парить ты облако лавина снежный гора накрыть счастие тёплый ветер солнышко рука венок звезда небо другой планета видеть ты мечтать гдеть земля парить ты облако лавина снежный гора накрыть счастие тёплый ветер ,4
друг сосед родня учить жить твердить губить просто любить говорить сойти ум говорить разобраться сам какнибыть обойтись дело касаться серый глаз говорить сойти ум говорить разобраться сам какнибыть обойтись дело касаться серый глаз говорить отдать серый глаз говорить ночь спать просто любить говорить сойти ум говорить разобраться сам какнибыть обойтись дело касаться серый глаз говорить сойти ум говорить разобраться сам какнибыть обойтись дело касаться серый глаз говорить сойти ум говорить разобраться сам какнибыть обойтись дело касаться серый глаз говорить сойти ум говорить разобраться сам какнибыть обойтись дело касаться серый глаз говорить сойти ум говорить разобраться сам говорить сойти ум говорить разобраться сам говорить говорить дело касаться серый глаз ,5
снегирь герой поглядеть словно капля кровь грудь какой невидимый бой ранить мечта любовь идти обида затаить небо синемсиний снегирь летаюттать таять мираж мечта твой небо синий поймать улетать стая повторять губа бреда прийти прийти прийти снегиринегиря улететь поймать снегиринегиря замолить заплакать мечта такой улететь поймать снегиринегиря знать знать снегиринегиря улететь поймать снегиринегиря замолить заплакать мечта такой улететь поймать снегиринегиря знать знать знать знать знать знать знать знать прийти встреча посмеяться ты говорить сторона смотреть стая снегирь сорваться ветвь улететь прочь почему выйти почему небо синемсиний снегирь летаюттать правда похожий мечта небо синий поймать улетать стая неправда сказать ты земля любовь любовь снегиринегиря улететь поймать снегиринегиря замолить заплакать мечта такой улететь поймать снегиринегиря знать знать небо синемсиний снегиринегиря улететь поймать снегирь летать снегиринегиря замолить заплакать небо синемсиний мечта такой улететь поймать улетать тая снегиринегиря знать знать знать знать знать знать знать знать знать знать скоро весна снегиринегиря улетаюттаюттать снегиринегиря улетаюттаюттать снегиринегиря улетаюттаюттать снегиринегиря улетаюттаюттать снегиринегиря улетаюттаюттать снегиринегиря улетаюттаюттать снегиринегиря улетаюттаюттать снегиринегиря улетаюттаюттать снегиринегиря улететь поймать снегиринегиря замолить заплакать мечта такой улететь поймать снегиринегиря знать знать знать знать знать знать знать знать ,6
это прошлое лето лежать песок наслаждаться яркий свет крик чайка вдалеке сам море горячий песок чудо выползти такой испытать шок морской черепашка имя наташка очки китай такой крутой морской черепашка имя наташка очки китай такой крутой морской морской черепашка имя наташка очки китай такой крутой морской лоб сдвигать чёрный очки говорить худой прозрачный её слово глубоко возмутить толк лев говорить дружный говорить дружный говорить дружный говорить дружный говорить дружный говорить дружный говорить дружный говорить дружный говорить дружный морской черепашка имя наташка очки китай такой крутой морской черепашка имя наташка очки китай такой крутой морской сказать певица хотеть стать урок вокал попросить преподать тот пора черепашка неразлучный друг жалко наташка уметь петь морской черепашка имя наташка очки китай такой крутой морской черепашка имя наташка очки китай такой крутой морской морской черепашка имя наташка очки китай такой крутой морской черепашка имя наташка очки китай такой крутой морской черепашка имя наташка такой такой такой крутой черепашка имя наташка такой такой такой крутой морской ,7
москва пить пиво молдавия пить пиво литва пить пиво анталия пить пиво сибирь пить пиво германия пить пиво весь мир пить пиво авария пить пиво пить пиво пить пиво пенный ритм современный мочь мочь вдвоём втроём всемером оставить немного пиво пиво сколько сколько мимо пить пиво пиво пить дать друг давать пока пиво сердце пока болеть голова кварта терция соль перец ватт килогерец пить пиво каждый день каждый час пить пиво запас авария любить пиво хей пить пиво пиво пить пить пиво заря пить пиво сон пить пиво трава пить пиво стол пить пиво натощак пить пиво хмелить пить пиво просто пить авария пить пиво есть спать курить идти кино бровь хмурить ты смешно лежать больница лежать твой друг лететь юг птица лететь юг дерзить твой дама какойнибудь урод бить нога наоборот идти дом кед брать пальто важно должный должный помнить китай пить пиво австралия пить пиво давать пить пиво авария пить пиво пить пиво выпить пиво местный разлив расслабиться жизнь твой тоскливый выпить пиво быть сильный красивый запомнить лекарство спасать пиво пить пиво заря пить пиво сон пить пиво трава пить пиво стол пить пиво натощак пить пиво хмелить пить пиво просто пить авария пить пиво есть мясо какой мясо олег какой такой мясо обычный мясо пить пиво мясо быть мясо любить мясо любить мясо пидарас знать кушать слушать мочь пищеварение нарушить давать нарезать налить хей есть мясо пиво пить пить пиво заря пить пиво сон пить пиво трава пить пиво стол пить пиво натощак пить пиво хмелить пить пиво просто пить авария пить пиво ,8
свет бродить голова склонить дать ответ позабыть письмо четыре день милый грешить написать жить словно сон горе словно огонь просить написать весточка строчечка написать ясный свет написать слеза дождь мокрый окно ясный свет написать весенний луч белый стена нелегко чей вино далеко целое мир один лишь высоко небо грустный луна слышать вздох душа написать жить словно сон горе словно огонь просить написать весточка строчечка написать ясный свет написать слеза дождь мокрый окно ясный свет написать весенний луч белый стена ясный свет написать слеза дождь мокрый окно ясный свет написать весенний луч белый стена ясный свет написать слеза дождь мокрый окно ясный свет написать весенний луч белый стена ясный свет написать слеза дождь мокрый окно ясный свет написать весенний луч белый стена ясный свет написать слеза дождь мокрый окно ясный свет написать весенний луч белый стена ,9
далеко далеко зелёный река знать холодное ветер собирать цветок оставлять след горячее песок лето гдеть гдеть остывать луна стоить окно глядеть зелёный верба рояль весна мелодия сон горячее песок гдеть гдеть гдеть однажды зимой весна осень гдеть проснуться один открыть окно увидеть мой лето туда разводить вечер мост заметать след туда туда мой уносить мечта таять сон вода туда туда белый клавиша цветок туда чёрный нота мост туда уходить наш мечта туда туда напротив жить скрывать бестолковый старый верба видеть цвет горячее песок слышать гора река мой сон прилетать бродить наш мечта зелёный река горячее песок тая туда разводить вечер мост заметать след туда туда мой уносить мечта таять сон вода туда туда белый клавиша цветок туда чёрный нота мост туда уходить наш мечта туда туда туда разводить вечер мост уплыть корабль туда туда мой уносить мечта таять сон вода туда туда разводить вечер мост заметать след туда туда мой уносить мечта таять сон вода туда туда белый клавиша цветок туда чёрный нота мост туда уходить наш мечта туда туда ,10
