text,id
остаться лишь снять усталость вечер душа лечить ооо зеленоглазый такси ооо притормозить притормозить ооо отвезти туда ооо быть рада спросить носить ято знать всё понимать ооо зеленоглазый такси ооо притормозить притормозить ооо отвезти туда ооо быть рада ооо зеленоглазый такси ооо притормозить притормозить ооо отвезти туда ооо быть рада дада ,1
земля иллюминатор земля иллюминатор земля иллюминатор видный сын грустить мать сын грустить мать грустить земля один звезда менее звезда менее близкий всё холодный часы затмение часы затмение ждать свет земной видеть сон сниться мы рокот космодром этот ледяной синева сниться мы трава трава дом зелёный зелёный трава лететь орбита путь избитый прошить метеорит простор оправдать риск мужество космический музыка вплывать деловой наш разговор какойтый дымка матовый земля иллюминатор вечерний ранний заря сын грустить мать сын грустить мать ждать сын мать сын земля сниться мы рокот космодром этот ледяной синева сниться мы трава трава дом зелёный зелёный трава сниться мы рокот космодром этот ледяной синева сниться мы трава трава дом зелёный зелёный трава сниться мы рокот космодром этот ледяной синева сниться мы трава трава дом зелёный зелёный трава сниться мы рокот космодром этот ледяной синева ,2
закат окончить летний тёплый вечер остановиться край земля вечер заметить лживый нужно слеза лить достаточно терпеть твой обман слушать ночью сказка любовь мочь верить стать заглядывать окно хотеть живить пусть твой окно смотреть беспечный розовый вечер пусть провожать розовый взгляд смотреть вслед пусть насмешка терпеть твой пусть доверять тайна свой этот беда быть я смеяться твой подъезд пацан нужно ночь ты шляться посмотреть спокойно сон розовый закат летний вечер вполне я согласный знать мочь верить свет подойти ты забыть вспоминать пусть твой окно смотреть беспечный розовый вечер пусть провожать розовый взгляд смотреть вслед пусть насмешка терпеть твой пусть доверять тайна свой этот беда пусть твой окно смотреть беспечный розовый вечер пусть провожать розовый взгляд смотреть вслед пусть насмешка терпеть твой пусть доверять тайна свой этот беда ,3
стена афиша комната пустой взрослый детский мечта наизусть песня знать поесть вместе понять белый роза сойти ум решить сам синий глаз краса затуманить глаз белый роза сойти ум решить сам оставаться лишь мечтать концерт день считать каждый песня ложиться спать другой думать некогда такой девчонка любить смочь понять белый роза сойти ум решить сам синий глаз краса затуманить глаз белый роза сойти ум решить сам оставаться лишь мечтать концерт день считать белый роза сойти ум решить сам синий глаз краса затуманить глаз белый роза сойти ум решить сам оставаться лишь мечтать концерт день считать белый роза сойти ум решить сам ,4
жилбыть художник домик иметь холст актриса любить тот любить цветок продать свой дом продать картина кров деньга купить целое море цвет миллион миллион миллион алый роза окно окно окно видеть влюбить влюбить влюбить всерьёз жизнь превратить цветок миллион миллион миллион алый роза окно окно окно видеть влюбить влюбить влюбить всерьёз жизнь превратить цветок утром встать окно сойти ум продолжение сон площадь цвета полный похолодеть душа богач чудить окно дышать бедный художник стоить миллион миллион миллион алый роза окно окно окно видеть влюбить влюбить влюбить всерьёз жизнь превратить цветок миллион миллион миллион алый роза окно окно окно видеть влюбить влюбить влюбить всерьёз жизнь превратить цветок миллион миллион миллион алый роза окно окно окно видеть влюбить влюбить влюбить всерьёз жизнь превратить цветок миллион миллион миллион алый роза окно окно окно видеть влюбить влюбить влюбить всерьёз жизнь превратить цветок встреча короткий ночь поезд увезти жизнь песня безумный роза прожить художник беда перенести жизнь целый площадь цвет миллион миллион миллион алый роза окно окно окно видеть влюбить влюбить влюбить всерьёз жизнь превратить цветок миллион миллион миллион алый роза окно окно окно видеть влюбить влюбить влюбить всерьёз жизнь превратить цветок миллион миллион миллион алый роза окно окно окно видеть влюбить влюбить влюбить всерьёз жизнь превратить цветок миллион миллион миллион алый роза окно окно окно видеть влюбить влюбить влюбить всерьёз жизнь превратить цветок ,5
горячий солнце горячий песок горячий губа вода глотка горячий пустыня видно след сказать караванщик вода учкудук колодец защитить защитить солнце пустыня спасительный круг учкудук учкудук колодец защитить защитить солнце пустыня спасительный круг учкудук дерево жизнь таинственный страж это лишь мираж это усталость бред учкудук спасение учкудук колодец защитить защитить солнце пустыня спасительный круг учкудук учкудук колодец защитить защитить солнце пустыня спасительный круг учкудук любой учкудук рассказать старик городкрасавец пустыня возникнуть синий небо взметнуться дом удивиться природа сам учкудук колодец пусть пусть светить солнце пустыня спасительный круг учкудук учкудук колодец пусть пусть светить солнце пустыня спасительный круг учкудук учкудук колодец защитить защитить солнце пустыня спасительный круг учкудук учкудук учкудук учкудук учкудук ,6
всё выдумать слепнуть непроглядный туман непроглядный туман невыпасть снег песня нежный сердце аккорд дождь счастливый конец счастливый конец ты приходить мороз зной ты говорить ты говорить любовь неземной очень нежный всё готовый ты нужный ты нужный неземной любовь фантазёр называть фантазёр ты пара умный прекрасный фея любить всё сильный всё умчаться дым тревога потеря сегодня другой сегодня другой земной мечта земной любовь нежность нежность смотреть прошлое вновь фантазёр называть фантазёр ты пара умный прекрасный фея любить всё сильный умный прекрасный фея любить всё сильный ,7
привет оо оо нанананан аа оо оо нанананан оо оо нанананан оо оо нанананан оо оо нанананан стать счастливый человек оо оо нанананан верный сто друг оо оо нанананан эй слышать наш сто первый друг оо оо нанананан надёжный сотня рука оо оо нанананан скорый мы идти друг приводить иметь сто рубль иметь сто друг оо оо нанананан оо оо нанананан оо оо нанананан ответить хотеть спросить оо оо нанананан дружба дорогой оо оо нанананан эй слышать наш сто первый друг оо оо нанананан поддержать сотня рука оо оо нанананан скорый мы идти друг приводить иметь сто рубль иметь сто друг оо оо нанананан оо оо нанананан оо оо нанананан дать рука рука оо оо нанананан устать палец снять курок оо оо нанананан эй слышать наш сто первый друг оо оо нанананан поддержать сотня рука оо оо нанананан скорый мы идти друг приводить иметь сто рубль иметь сто друг оо оо нанананан оо оо нанананан оо оо нанананан оо оо нанананан оо оо нанананан ,8
ледяной гора айсберг туман вырастать нести течение бескрайний море тот знать опасный океан опасный океан айсберг встречный корабль свет ты забывать любовь море бросаться голова холодный айсберг океан твой печаль тёмный вода гора радость замёрзнуть растаять ласковый солнце мёртвый белый снег понять пытаться сам дело сам дело айсберг человек свет ты забывать любовь море бросаться голова холодный айсберг океан твой печаль тёмный вода уйти мой дорога стать судьба протянуть скорее рука поверить помочь любовь суметь примирить ты растаять айсберг это сердце любовь свет ты забывать любовь море бросаться голова холодный айсберг океан твой печаль тёмный вода ,9
тихо плескать речка оранжевый закат голубой край сирень детство отцвести сад гдеть старый мельница крутитсявертиться биться камень вода старый мельница перемолоться любовь старый мельница перемолоться любовь уехать край далёкий море пальма песок ночь сниться милый сердце уголок гдеть старый мельница крутитсявертиться биться камень вода старый мельница перемолоться любовь старый мельница перемолоться любовь возвратиться город детство жить река место прежде ждать прежде старый мельница крутитсявертиться биться камень вода старый мельница перемолоться любовь старый мельница перемолоться любовь гдеть старый мельница крутитсявертиться биться камень вода старый мельница перемолоться любовь старый мельница перемолоться любовь ,10
