text,id
ты прикоснуться открыть мы нужный ответ мир пойти я улыбнуться давать дождь новый рассвет дышать любить ценить мгновение слышать верить слышать верить дышать любить ценить мгновение слышать верить слышать верить дышать любить ценить мгновение твой мир твой дом чувствовать немой новый расклад дышать любить ценить мгновение слышать верить слышать верить дышать любить ценить мгновение слышать верить слышать верить дышать любить ценить мгновение ,1
бежать выдыхать место видеть столько солнце привыкнуть темнота закрывать рука слишком ярко просто странный день пройти заставить замолчать утро сильный яркий далёкий забывать небо высоко смотреть никто полететь полететь туда расплескать последний глотка распуститься цветок облако мечтать просто время верить никто важно забыть жить узнать узнать причина остаться завтра день пройти понимать понимать мы просто нужно далёкий провожать взгляд самый хороший день самый хороший день вокруг красота ждать посмотреть найти высота уронить спина успеть взлететь снова както высота уронить спина узнать выключать чужой песня бесить значить выключать аа значить забирать забирать забирать аа хотеть узнать потерять ключ проблема хотеть узнать потерять ключ проблема хотеть узнать потерять ключ проблема хотеть узнать потерять ключ проблема помнить помнить пробел вместо смысл пробел вместо смысл пробел вместо смысл пробел волна распускаться цветок замерзать небо облако ненавидеть сон ненавидеть сон ненавидеть сон ненавидеть сон ненавидеть сон ненавидеть сон сниться выше невозможно догнать невозможно унять причина лишь счастие смех искать королева пытаться сделать тот рядом я знать лев лишь приносить добыча домой сниться деньга песок сниться пляж говорить время показать видеть кусок сниться отмыться сажи сниться дерево посадить сниться нужный гаджет сниться ребёнок брать хороший ненавидеть сон красивый сестра реальность ненавидеть реальность вместо нежность пошлость сальность ненавидеть сон красивый сестра реальность ненавидеть реальность вместо нежность пошлость ,2
здорово бродить улица влюбить медленно радость верить обязательно сбыться хватать наглость чувствовать нужный свет лицо падать сегодня просто простудить обычно радовать полутон недолуна идеально влюбить спешить чувствовать шанс убежать молчать время лететь нужно уметь отпускать нужно комуть уйти молчать время лететь нужно уметь отпускать нужно комуть уйти молчать время лететь нужно уметь отпускать нужно комуть уйти молчать время лететь нужно уметь отпускать нужно комуть уйти знать любить сложно верить зажить однажды вместо слово многоточие гнать прочь знать любить сложно невзаимный счёт верить зажить однажды рана зажить вместо слово многоточие хотеться ночевать гнать прочь стать среди прочий молчать время лететь нужно уметь отпускать нужно комуть уйти молчать время лететь нужно уметь отпускать нужно комуть уйти молчать время лететь нужно уметь отпускать нужно комуть уйти молчать время лететь нужно уметь отпускать нужно комуть уйти ,3
ночь кафе дорога неизвестный прозрачный футболка рисовать мой мечта скрывать свой чувство бесконечно влюбить пока танцевать отражение вокруг кружиться земля выбирать выражение спросить почему такой красивый почему запасть знать остановить нести твой океан этот любовь этот любовь бесконечный этот любовь этот любовь безграничный этот любовь этот любовь вечный тонема друг друг деликатно дерзить твой рука невероятный скрывать свой чувство искренний глубина пока танцевать отражение вокруг кружиться земля выбирать выражение спросить почему такой красивый почему запасть знать остановить нести твой океан этот любовь этот любовь бесконечный этот любовь этот любовь безграничный этот любовь этот любовь вечный пока танцевать отражение вокруг кружиться земля подбирать выражение спросить почему такой красивый почему запасть знать остановить нести твой океан этот любовь этот любовь бесконечный этот любовь этот любовь безграничный этот любовь этот любовь вечный ,4
поцелуй падать падать падать сказать мы это наутро быть другой ночь сила жёстко любить еее поцелуй падать падать падать ёёё сказать мы это ёёё наутро быть другой ночь сила жёстко любить еее поцелуй падать падать падать ёёё сказать мы это ёёё наутро быть другой ночь сила жёстко любить еее смотреть видеть твой взгляд губа гореть сладкий яд ещё пока знать всё трогать трогать сиять просто хотеть лечь постель такой тот хотеть лишь зависеть твой рука наш тело огонь поцелуй вне понимать просто улетать вверх верить мерил знать всё помнить постель смотреть видеть твой взгляд губа гореть сладкий яд поцелуй падать падать падать ёёё сказать мы это ёёё наутро быть другой ночь сила жёстко любить еее поцелуй падать падать падать ёёё сказать мы это ёёё наутро быть другой ночь сила жёстко любить еее ,5
окей окей хоувоувоувоу хоувоувоувоу хоувоувоуйе оувоувоувоу снова лунный свет окно снова мысль ты вовремя понять значить упустить смочь ранний видно суждено знать лишь один забыть твой глаз твой улыбка пронести год вина ошибка забыть любовь это чудо пронести год забыть забыть забыть забыть мочь найти никак отражение зеркало вампир выпить кровь брудершафт капкап капля губа сладко сладко мы утонуть утонуть отпустить воля место находить знать скучать ты написать время улетать утекать вода забыть забыть твой глаз твой улыбка пронести год вина ошибка забыть любовь это чудо пронести год забыть забыть твой глаз твой улыбка пронести год вина ошибка забыть любовь это чудо пронести год забыть забыть забыть забыть ,6
кхм забавно всё это иметь значение спустя время сей пора память мелочь чей надеяться ктоть ты сделать больной последний помнить рассвет ещё взрослый ребёнок пытаться понять кто встретить пара слово пара год счастливый билет равно палить мой стори давно это стать мой траблом сорри падать небо грёбаный астероид крыть слышать крыть равно палить мой стори давно это стать мой траблом сорри падать небо грёбаный астероид крыть слышать крыть ммм печально разноцветный слишком сладкий вата превращаться однажды липкий грязный пятно надеяться тот кто лечить цитата дело ты верить помнить закат смелый смешной мечтатель сторона весь казаться спятить спятить иммунитет никто любить равно палить мой стори давно это стать мой траблом сорри падать небо грёбаный астероид крыть слышать крыть равно палить мой стори давно это стать мой траблом сорри падать небо грёбаный астероид крыть слышать крыть ммм равно ,7
всё забыть ты точно стать лёгкий любовь вода время лечить снова вспомнить всё небо рухнуть плечо пропадать вечер пропадать вечность включать любимый песня самый грустный песня её любимый песня её самый грустный песня самый грустный песня самый грустный песня самый грустный песня хотеть весь мир закричать дать дать дать сила нужно спасать хотеть попросить дать дать дать сила услышать любить никто любить дать дать дать сила нужно спасать хотеть попросить дать дать дать сила услышать любить никто любить осень любить зима весна лето бросить ктоть погубить поход любить осень время всё решить живить спешить отпустить никто решить пропадать вечер вновь пропадать вечность включать любимый песня самый грустный песня любимый песня самый грустный песня дать дать дать сила нужно спасать хотеть попросить дать дать дать сила услышать любить хотеть весь мир закричать дать дать дать сила нужно спасать хотеть попросить дать дать дать сила услышать любить никто любить дать дать дать сила нужно спасать хотеть попросить дать дать дать сила услышать любить никто любить самый грустный песня самый грустный песня ,8
костёр тишина рука мой греть разбрестись барин домой уходить остаться я рассказать что сердце стучать пьяный пацан неисправимый многий человек любовь взять кредит ой болеть костёр тишина рука мой греть разбрестись барин домой уходить остаться я рассказать что сердце стучать пьяный пацан неисправимый многий человек любовь взять кредит ой болеть ой болеть ой ныть кожа вон ты никак ниточка помаленечку добиваться птица семечко светофор просто прохожий видимо человек поиск похожий разглядеть средь тысяча костёр наломать дрова костёр тишина рука мой греть разбрестись барин домой уходить остаться я рассказать что сердце стучать пьяный пацан неисправимый многий человек любовь взять кредит ой болеть мой нетрезвый сердце вроде стать биться чтоть хватать влюбиться искать счастие гдеть хотя оно близко влюбить взгляд ты рядом допивать виски сказать чувствовать хотеть сделать счастливый пытаться кемтый говорить красиво хотеть помолчать хотеть потанцевать развести костёр который вновь задуть тишина рука мой греть разбрестись барин домой уходить остаться рассказать что сердце стучать пьяный пацан неисправимый многий человек любовь взять кредит ой болеть ойойойойий ойойойойий ойойойойий ой болеть ойойойойий ойойойойий ойойойойий ой болеть ,9
считать деньга мой кошелёк любить деньга видеть смотреть этот человек кто свой яхта тачка бассейн снова напиваться снова говорить пока несовместимый пустой карман снова напиваться снова говорить пока ты быть слушать дать всё захотеть слушать сумма просить любой сумма любить надеяться любить аа аа давно всё понять ага нужный нужный деньга тачка пойло быть денёк обещать вернуться влюбиться влюбиться новый снова напиваться снова говорить пока несовместимый пустой карман снова напиваться снова говорить пока ты быть ,10
