Title,Artist
Реви,Иванушки International
Disco Superstar,Дискотека Авария
Школа № 7,Hi-Fi
Ты где-то,Гости из будущего
Лето-зима,Татьяна Буланова
Беспризорник,Hi-Fi
"Беги, беги",Иванушки International
Люби меня по-французски,Гости из будущего
Ласковая моя,Чай вдвоём
Девушки как звезды,Андрей Губин
Малинки,Дискотека Авария
Кислотный DJ,Оксана Почепа
Мой сон,Татьяна Буланова
"Солнышко моё, вставай",Марина Хлебникова
Билетик в кино,Иванушки International
Он тебя целует,Руки Вверх!
Влечение,Дискотека Авария
Он чужой,Гости из будущего
Небо,Дискотека Авария
День рождения,Чай вдвоём
Танцы,Андрей Губин
Глупые люди,Hi-Fi
Я убегаю,Оксана Почепа
Зима в сердце,Гости из будущего
18 мне уже,Руки Вверх!
"Салют, Вера",Валерий Меладзе
Убегает лето,Андрей Губин
Жестокая любовь,Филипп Киркоров
Попытка № 5,ВИА ГРА
Желанная,Чай вдвоём
Ай-яй-яй,Руки Вверх!
Небеса,Валерий Меладзе
Всё в твоих руках,Леонид Агутин
"Не оставляй меня, любимый",ВИА ГРА
Я за тебя умру,Филипп Киркоров
Ты не мой,Света
Алёшка,Руки Вверх!
Килиманджаро,Филипп Киркоров
Все равно,Алсу
Я не вернусь,ВИА ГРА
Девушки (Девушки бывают разные),Отпетые мошенники
Я буду всегда с тобой,Леонид Агутин
А я всё летала,Блестящие
Текила-любовь,Валерий Меладзе
Осень,Алсу
Океан и три реки,ВИА ГРА
Моя звезда,ВИА «Сливки»
А может да...,Света
Мой мир,Кристина Орбакайте
Будь или не будь,Алла Пугачёва
Восточные сказки,Блестящие
Solo,Алсу
А у реки,Отпетые мошенники
Перелетная птица,Кристина Орбакайте
Непогода,Алла Пугачёва
Часики,Валерия
Выше облаков,ВИА «Сливки»
Не обижай меня,Валерия
За четыре моря,Блестящие
Non Stop,REFLEX
Доченька,Алла Пугачёва
Твои глаза,Света
Долетай,Катя Лель
Насосы,Отпетые мошенники
Апельсиновая песня,Блестящие
Рига-Москва,Валерия
Танцы,REFLEX
Летели недели,ВИА «Сливки»
Мой мармеладный,Катя Лель
Лети! Беги!,Другие правила
Трудный возраст,МакSим
Свеча горела на столе…,Алла Пугачёва
Про любовь,Фабрика
Сойти с ума,REFLEX
Ева,Винтаж
Таю,Валерия
Рыбка,Фабрика
Знаешь ли ты,МакSим
Не пара,Потап и Настя
Плакала берёза,Корни
Муси-пуси,Катя Лель
Мелом,Пропаганда
Мулатка,Дима Билан
Почему?,Потап и Настя
Романтика,Фабрика
Плачь и смотри,НЕПАРА
Падали звезды,REFLEX
Ты узнаешь её,Корни
Танцы-обниманцы,Михаил Гребенщиков
Плохая девочка,Винтаж
Ветром стать,МакSим
Отпусти,Юлия Савичева
Другая причина,НЕПАРА
Бог тебя выдумал,НЕПАРА
Вова-чума,Иракли
Когда я стану кошкой,Мария Ржевская
Ниже ростом только Губин,Антон Зацепин
Шоколадный заяц,Пьер Нарцисс
"Вика (С днем рождения, Вика!)",Корни
