Title,Artist
Мало тебя,SEREBRO
Любовь спасёт мир,Вера Брежнева
Выше,Nyusha
Роман,Винтаж
Москва,Dj Smash
Прованс,Ёлка
Все будет хорошо,Митя Фомин
Москва — Владивосток,Юлия Савичева
Вместе мы,5sta family
Режиссер,Градусы
Выбирать чудо,Nyusha
Доброе утро,Вера Брежнева
Мама Люба,SEREBRO
Сотри его из memory,Вика Дайнеко
Нежность,МАЧЕТЕ
Невозможное возможно,Дима Билан
Спектакль окончен,Полина Гагарина
Всё решено,Elvira T
Лишь до утра,Dan Balan
Зачем?,5sta family
Около тебя,Ёлка
Кто ты?,Градусы
Mi Mi Mi,SEREBRO
Цунами,Nyusha
Шпилька-каблучок,Лолита
Ты такой,DONI
Дыши,Винтаж
Ты не такой,Юлианна Караулова
Имя 505,Время и Стекло
Посмотри на меня,MBAND
Счастье есть,Сати Казанова
Подруга-ночь,Макс Барских
Голая,Градусы
Невеста,Егор Крид
Люби меня долго,Ирина Дубцова
Половина,Artik & Asti
Что же ты наделала,Руки Вверх!
Моя печаль,БАНД'ЭРОС
Бумдиггибай,Потап и Настя
Белые птицы,Валерий Меладзе
Ты — моя нежность,Наргиз
Люба-любовь,Ирина Дубцова
Мама,Burito
Самая-самая,Егор Крид
Счастье,Стас Пьеха
Маршрутка,IOWA
Мир зелёного цвета,Леонид Агутин
Любимый мой,Юта
У меня появился другой,ВИА ГРА
Крылья,Вика Дайнеко
Почему,Дмитрий Колдун
Улыбайся,IOWA
Уди уди,Потап и Настя
Сумасшедшая,Ани Лорак
Гравитация,Родион Газманов
Я верю в любовь,Винтаж
Штрихкоды,Эмма М
Твоих рук родные объятья,Таисия Повалий
Оружие,PIZZA
Корабли,Ани Лорак
Сумасшедшая,Алексей Воробьёв
Химия,Моя Мишель
Штрихкоды,Эмма М
Птица белая,Аида Гарифуллина
Дай пять,БАНД'ЭРОС
Ты не мой,Элина
Сумасшедшая,Анжелика Варум
Абсолютно всё,Бьянка
Шантарам,Анна Седокова
Оранжевые сны,Ани Лорак
Холодное сердце,Джиган
Одиночество-сука,Слава
"О боже, какой мужчина",Натали
К.У.К.Л.А.,Дискотека Авария
Сумасшедшие ночи,БАНД'ЭРОС
Я тебя люблю,ТОКИО
Любить больше нечем,Джиган
Самый лучший день,Григорий Лепс
Рюмка водки на столе,Григорий Лепс
До рассвета,Сати Казанова
Пока город спит,Burito
Там,Стас Михайлов
Я не отступлю,Бьянка
Невеста,Юлия Савичева
Дольче Габбана,Верка Сердючка
Пусть музыка играет,Инфинити
Всё для тебя,Стас Михайлов
Я устала быть сильной,Слава
Небо засыпай,МакSим
Не родись красивой,Фабрика
Как летать,МакSим
Колыбельная,Сати Казанова
Смайлик,Верка Сердючка
А чё чё,Бьянка
А на море белый песок,Жанна Фриске
Где Ты,Инфинити
Журавли летят в Китай,Стас Михайлов
Недолюбила,Зара
Реальная жизнь,Вера Брежнева
Я и ты,Слава
