Title,Artist
"Дыши, люби, цени",Nyusha
Высота,Сёстры
Многоточия,Zivert
Океаны,Макс Барских
Падали,Ramil'
Я не забуду,Max Box
Астероид,Mary Gu
Дай мне,NILETTO
Под дождём,Артём Качер
Костёр,HENSY
Снова я напиваюсь,SLAVA MARLOW
Запомни I love you,SHAMI
Лучшая,Асия
Чёрный мерен,Navai
Последний раз,Ева Польна
СЛЁЗЫ,Анет Сай
Мы переживём всё,#2Маши
Спасибо бывшие,kOtmOs
Пьяная,Валерия
Капкан,Burito
Не любовь?,Ханна
Гудки,Мот
Забывай,МакSим
Можно,Жасмин
Армагеддон,Макс Барских
Рикошет,ВИА ГРА
Если тебе будет грустно,Rauf & Faik
Sestra,Вера Брежнева
Времена не выбрать,Ёлка
Lonely,Макс Барских
неболей,Zivert
Белая Луна,Коста Лакоста
Водитель,Элина Чага
Эгоистка,5sta family
Ей нравится,Лёша Свик
Не плачь,САМЕДЛИ
"ТЫ КРУЧЕ, ЧЕМ...",GAYAZOV$ BROTHER$
Окей,Тима Белорусских
Не наговаривай,RSAC
Сошла с ума,Клава Кока
Пьяные мысли,Nyusha
Безалкогольное вино,ЕГОР ШИП
Контрольный,NITI MAY
Беги,Dj Smash
Как на фантиках Love Is,Елена Темникова
У твоего дома,Никита Киоссе
Часовые пояса,Регина Тодоренко
СМУЗИ,SMUZI
Небесные розы,JONY
Кретин,VESNA305
В мире людей,NILETTO
Любовь бессмертна,Николай Басков
Из окон,Ёлка
Капельки,Ida Galich
Я забираю твою подругу,#2Маши
По щекам слёзы,JANAGA
Boom Boom,LOBODA
Ментос и Кола,KAREENA
Беспредел,Slame
ВЕСНУШКИ,Тима Белорусских
Набирай высоту,Тайпан
ХЕДШОТ,GAYAZOV$ BROTHER$
Отвали,Bittuev
Ну почему,Agunda
ДИКИМИ ГЛАЗАМИ,Radjo
Твоей любимой,Ани Лорак
Незнакомка,Antip
Остров,A'Studio
"Позвони, будь посмелей",Фабрика
Сны наяву,Burito
Ты не целуй,Полина Гагарина
Девочка-космос,Николай Басков
Вижу солнце,Валерий Меладзе
Мой,LOBODA
Deja Vu,Звонкий
