Title,Artist
Малиновки заслыша голосок,ВИА «Верасы»
Белая ночь,Форум
Эскадрон,Олег Газманов
В краю магнолий,Ариэль
Кони в яблоках,Электроклуб
Улетели листья,Форум
Завируха,ВИА «Верасы»
Порушка-Параня,Ариэль
Тёмная лошадка,Электроклуб
"Давайте, созвонимся",Форум
Ты замуж за него не выходи,Электроклуб
Зеленоглазое такси,Михаил Боярский
Вечер,Светлана Разина
Трава у дома,Земляне
Я у бабушки живу,ВИА «Верасы»
Горбун,Михаил Боярский
Ланфрен-ланфра,Михаил Боярский
Розовый вечер,Юрий Шатунов
Заговорные слова,Ольга Зарубина
Комарово,Игорь Скляр
Принцесса мечты,Светлана Разина
Суббота есть суббота,Игорь Скляр
Каскадёры,Земляне
Большая медведица,Михаил Боярский
Бегущая по волнам,Лариса Долина
Белые розы,Юрий Шатунов
Яблоки на снегу,Михаил Муромов
Позади крутой поворот,Анне Вески
Плот,Юрий Лоза
Я больше не хочу,Ирина Понаровская Вейланд Родд
Сто часов,Юрий Лоза
Билет на балет,Игорь Корнелюк
Отставной майор,Николай Караченцов
Земля вернётся в май,Михаил Муромов
Радоваться жизни,Анне Вески
Рыжий клоун,Александр Добрынин
Ходим по Парижу,Игорь Корнелюк
Ариадна,Михаил Муромов
Подорожник,Алиса Мон
Замыкая круг,Крис Кельми
Миллион алых роз,Алла Пугачёва
Девчонка,Александр Добрынин
Три колодца,Ялла
Последняя поэма,Ирина Отиева
Сюрреализм,Ирина Отиева
"Позвони мне, позвони",Жанна Рождественская
Фантазёр,Ярослав Евдокимов
Маргарита,Сергей Минаев
Сто друзей,Алла Пугачёва
Привет,Секрет
Вернисаж,Раймонд Паулс
"Чтоб не пил, не курил",Екатерина Семёнова
Ещё не вечер,Раймонд Паулс
Айсберг,Алла Пугачёва
Мельница,Игорь Николаев
Моя любовь на пятом этаже,Секрет
Острова,Владимир Пресняков
Школьница,Екатерина Семёнова
Новогодние игрушки,Аркадий Хоралов
Две звезды,Алла Пугачёва
Атас,Любэ
Королевство кривых зеркал,Игорь Николаев
Алиса,Секрет
Белый вечер,Эдита Пьеха
Верю я,Браво
Не вешать нос,Дмитрий Харатьян
Люси,Родион Газманов
На два дня,ВИА Пламя
День рождения,Игорь Николаев
Зурбаган,Владимир Пресняков
Жёлтые ботинки,Браво
Когда меня ты позовёшь,Владимир Кузьмин
Снится мне деревня,Сергей Беликов
Мне больше не нужно,Суровый февраль
Симона,Владимир Кузьмин
Рыжий кот,Владимир Пресняков
Солнце горит,Наталия Гулькина
Чёрный кот,Браво
"И ты, и я",Юлия Гениуш
Воскресенье,Аркадий Хоралов
Леди Совершенство,Татьяна Воронина
